amr_gene	aro_call	n_samples
spaS127___111986	vanY gene in vanG cluster	22
spaS215___123528	vanY gene in vanB cluster	22
spaS221___95779	vanW gene in vanI cluster	22
spaS223___85820	vanW gene in vanB cluster	22
spaS257___184420	vanW gene in vanI cluster	22
spaS258___140908	vanT gene in vanG cluster	22
spaS268___187119	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	22
spaS268___8755	baeR	22
spaS272___129633	vanG	22
mh_p110___252034	vanY gene in vanB cluster	21
mh_p110___291447	vanY gene in vanB cluster	21
mh_p110___308473	vanT gene in vanG cluster	21
mh_p110___89668	vanT gene in vanG cluster	21
mh_p292___180458	vanG	21
mh_p292___265334	vanT gene in vanG cluster	21
mh_p398___158146	vanH gene in vanO cluster	21
mh_p584___69205	leuO	21
spaS127___112263	poxtA	21
spaS268___187118	marA	21
spaS268___4978	PmrF	21
spaS268___68528	msbA	21
spaS9___44335	OmpA	21
mh_p110___252026	vanG	20
mh_p292___73009	vanY gene in vanB cluster	20
mh_p398___100249	vanT gene in vanC cluster	20
mh_p470___77992	nimA	20
mh_p601___315140	vanY gene in vanG cluster	20
mh_p789___277220	vanW gene in vanI cluster	20
mh_p813___550583	vanT gene in vanG cluster	20
spaS116___19697	vanW gene in vanI cluster	20
spaS212___62083	vanXY gene in vanG cluster	20
spaS214___97290	vanW gene in vanI cluster	20
spaS235___36528	vanT gene in vanG cluster	20
spaS257___18961	vanY gene in vanG cluster	20
spaS258___94109	vanW gene in vanG cluster	20
spaS268___30196	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	20
spaS268___30197	marA	20
spaS268___39881	acrB	20
spaS268___8758	mdtC	20
spaS3___76201	vanH gene in vanB cluster	20
spaS3___95504	vanY gene in vanF cluster	20
spaS81___56601	vanT gene in vanG cluster	20
mh_p125___167067	catS	19
mh_p125___213279	vanY gene in vanG cluster	19
mh_p470___230072	poxtA	19
mh_p523___140811	vanW gene in vanI cluster	19
mh_p523___148580	vanT gene in vanG cluster	19
mh_p523___304756	vanW gene in vanI cluster	19
mh_p550___126323	Klebsiella pneumoniae KpnE	19
mh_p789___246381	vanW gene in vanG cluster	19
spaS127___92974	poxtA	19
spaS214___72375	vanW gene in vanI cluster	19
spaS215___74033	vanT gene in vanG cluster	19
spaS257___128287	vanW gene in vanI cluster	19
spaS257___18570	vanT gene in vanG cluster	19
spaS259___152748	LnuP	19
spaS268___130680	vanW gene in vanI cluster	19
spaS268___248975	Klebsiella pneumoniae KpnF	19
spaS268___69472	acrD	19
spaS282___228255	vanY gene in vanA cluster	19
spaS3___58391	vanY gene in vanM cluster	19
spaS67___142030	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	19
spaS7___27159	vanT gene in vanG cluster	19
mh_p110___248346	vanT gene in vanG cluster	18
mh_p341___146129	vanW gene in vanI cluster	18
mh_p470___229995	vanG	18
mh_p789___509274	vanW gene in vanB cluster	18
spaS136___59440	oqxA	18
spaS163___15525	vanY gene in vanG cluster	18
spaS167___82603	vanY gene in vanG cluster	18
spaS194___182301	vanW gene in vanI cluster	18
spaS207___97649	vanW gene in vanI cluster	18
spaS214___112917	vanW gene in vanI cluster	18
spaS215___75473	vanW gene in vanB cluster	18
spaS258___216524	qacG	18
spaS274___63663	vanW gene in vanI cluster	18
spaS7___4752	nimI	18
spaS81___74895	vanY gene in vanB cluster	18
spaS94___68112	vanY gene in vanM cluster	18
spaS97___92099	vanY gene in vanF cluster	18
mh_p125___187206	vanT gene in vanG cluster	17
mh_p125___223677	vanT gene in vanG cluster	17
mh_p292___432877	tet(32)	17
mh_p398___95910	vanT gene in vanG cluster	17
mh_p470___14953	vanW gene in vanI cluster	17
mh_p601___285113	emrB	17
mh_p789___571954	vanT gene in vanG cluster	17
mh_p894___80566	ErmG	17
spaS102___28344	vanY gene in vanG cluster	17
spaS110___1551	vanH gene in vanD cluster	17
spaS16___102662	tet(Q)	17
spaS212___106538	vanY gene in vanA cluster	17
spaS215___108122	vanY gene in vanB cluster	17
spaS215___163486	vanY gene in vanB cluster	17
spaS257___151670	vanY gene in vanF cluster	17
spaS257___151925	vanW gene in vanG cluster	17
spaS257___31314	vanY gene in vanB cluster	17
spaS272___146811	ANT(3'')-IIa	17
spaS282___55696	vanY gene in vanB cluster	17
spaS30___142862	vanY gene in vanF cluster	17
spaS66___121230	vanY gene in vanB cluster	17
mh_p110___144348	adeF	16
mh_p110___185816	vanT gene in vanG cluster	16
mh_p125___103233	vanY gene in vanF cluster	16
mh_p125___150725	vanW gene in vanI cluster	16
mh_p125___171583	vanY gene in vanF cluster	16
mh_p125___171584	vanY gene in vanF cluster	16
mh_p125___186446	tet(W/32/O)	16
mh_p125___218047	vanT gene in vanG cluster	16
mh_p125___271783	vanW gene in vanI cluster	16
mh_p125___57138	vanW gene in vanI cluster	16
mh_p125___62085	vanT gene in vanG cluster	16
mh_p341___7832	mdtB	16
mh_p523___287614	vanT gene in vanG cluster	16
mh_p523___338296	vanT gene in vanG cluster	16
mh_p601___322313	acrD	16
mh_p789___521245	vanG	16
spaS188___181805	vanY gene in vanB cluster	16
spaS214___74019	vanW gene in vanI cluster	16
spaS214___88720	vanW gene in vanI cluster	16
spaS214___92177	vanW gene in vanG cluster	16
spaS215___105178	vanY gene in vanB cluster	16
spaS215___176925	vanH gene in vanB cluster	16
spaS215___223163	vanY gene in vanB cluster	16
spaS223___60781	adeF	16
spaS259___126296	vanW gene in vanI cluster	16
spaS26___110692	vanT gene in vanG cluster	16
spaS282___114833	vanW gene in vanI cluster	16
spaS282___54485	vanY gene in vanB cluster	16
spaS287___88558	poxtA	16
spaS295___281330	vanY gene in vanB cluster	16
spaS2___42334	vanY gene in vanB cluster	16
spaS50___158047	vanW gene in vanI cluster	16
spaS99___73173	vanY gene in vanG cluster	16
mh_p110___208238	adeF	15
mh_p110___276649	vanT gene in vanG cluster	15
mh_p110___76261	adeF	15
mh_p125___206165	vanG	15
mh_p292___270618	vanH gene in vanO cluster	15
mh_p341___161528	ArnT	15
mh_p341___277490	vanW gene in vanI cluster	15
mh_p398___106530	vanW gene in vanI cluster	15
mh_p398___155632	vanH gene in vanO cluster	15
mh_p398___182090	poxtA	15
mh_p408___57747	vanT gene in vanG cluster	15
mh_p584___167115	tet(Q)	15
spaS206___103393	vanW gene in vanI cluster	15
spaS212___14778	vanT gene in vanG cluster	15
spaS214___139780	vanT gene in vanG cluster	15
spaS215___155684	APH(2'')-IIa	15
spaS215___168220	vanT gene in vanG cluster	15
spaS215___170951	vanH gene in vanO cluster	15
spaS253___101875	SAT-2	15
spaS257___205526	vanT gene in vanG cluster	15
spaS267___195387	vanT gene in vanG cluster	15
spaS272___125477	vanT gene in vanG cluster	15
spaS2___48857	vanT gene in vanG cluster	15
spaS3___53643	vanW gene in vanI cluster	15
spaS3___68388	qacEdelta1	15
spaS5___147726	vanW gene in vanI cluster	15
mh_p110___20091	vanT gene in vanG cluster	14
mh_p110___24182	adeF	14
mh_p125___156212	vanG	14
mh_p125___156213	vanXY gene in vanG cluster	14
mh_p292___68005	vanY gene in vanB cluster	14
mh_p341___120634	Klebsiella pneumoniae KpnF	14
mh_p341___178686	vanW gene in vanI cluster	14
mh_p341___294690	vanT gene in vanG cluster	14
mh_p341___35110	vanT gene in vanG cluster	14
mh_p341___62368	Escherichia coli mdfA	14
mh_p584___107045	eptB	14
mh_p584___215752	vanW gene in vanI cluster	14
mh_p584___39455	patA	14
mh_p644___166458	nimJ	14
mh_p722___155575	poxtA	14
mh_p97___66463	vanW gene in vanI cluster	14
spaS134___102468	vanW gene in vanI cluster	14
spaS169___205980	vanG	14
spaS184___28691	vanW gene in vanI cluster	14
spaS214___95648	vanY gene in vanB cluster	14
spaS215___54768	vanY gene in vanB cluster	14
spaS215___81376	vanW gene in vanI cluster	14
spaS216___77112	vanT gene in vanG cluster	14
spaS257___60312	vanW gene in vanI cluster	14
spaS257___71794	adeF	14
spaS257___94459	vanD	14
spaS268___131277	vanW gene in vanI cluster	14
spaS274___63612	tet(36)	14
spaS274___74884	vanW gene in vanI cluster	14
spaS282___98210	vanT gene in vanG cluster	14
spaS6___60432	dfrA17	14
mh_p110___184896	vanY gene in vanF cluster	13
mh_p110___187381	vanY gene in vanB cluster	13
mh_p110___292463	nimD	13
mh_p125___156214	vanT gene in vanG cluster	13
mh_p125___156215	vanT gene in vanG cluster	13
mh_p125___24415	tet(36)	13
mh_p292___135072	vanY gene in vanB cluster	13
mh_p292___253269	vanY gene in vanB cluster	13
mh_p292___319792	vanH gene in vanO cluster	13
mh_p292___341	vanW gene in vanI cluster	13
mh_p292___407405	vanG	13
mh_p341___120633	Klebsiella pneumoniae KpnE	13
mh_p341___127470	DHA-1	13
mh_p341___145546	vanY gene in vanG cluster	13
mh_p341___159327	vanG	13
mh_p341___29856	oqxA	13
mh_p341___80005	leuO	13
mh_p341___80035	LptD	13
mh_p398___195465	tet(X1)	13
mh_p523___180927	poxtA	13
mh_p550___260458	EstT	13
mh_p584___209950	vanW gene in vanI cluster	13
mh_p894___20293	nimG	13
spaS184___51457	tet(Q)	13
spaS184___53497	vanT gene in vanG cluster	13
spaS192___94936	vanR gene in vanD cluster	13
spaS194___152888	vanY gene in vanB cluster	13
spaS214___92175	vanXY gene in vanG cluster	13
spaS214___92176	vanG	13
spaS215___118181	qacG	13
spaS215___155685	AAC(6')-Im	13
spaS23___39126	vanY gene in vanG cluster	13
spaS257___75799	vanT gene in vanG cluster	13
spaS257___97624	vanW gene in vanI cluster	13
spaS273___85219	vanW gene in vanI cluster	13
spaS2___51517	vanY gene in vanB cluster	13
spaS30___21533	vanY gene in vanB cluster	13
spaS63___1798	vanY gene in vanG cluster	13
spaS73___80673	vanT gene in vanG cluster	13
spaS75___89522	vanY gene in vanM cluster	13
spaS79___176989	vanY gene in vanF cluster	13
spaS98___44550	tet(36)	13
mh_p110___129351	vanG	12
mh_p125___230037	vanY gene in vanF cluster	12
mh_p125___230038	vanY gene in vanF cluster	12
mh_p292___125250	vanY gene in vanG cluster	12
mh_p292___139685	mefH	12
mh_p292___321845	tet(Q)	12
mh_p292___354728	vanY gene in vanF cluster	12
mh_p341___62887	vanT gene in vanG cluster	12
mh_p341___77016	poxtA	12
mh_p408___217157	vanW gene in vanI cluster	12
mh_p523___360260	vanG	12
mh_p584___185877	nimA	12
mh_p722___6061	vanW gene in vanI cluster	12
mh_p789___257591	vanW gene in vanI cluster	12
mh_p789___604352	vanT gene in vanG cluster	12
mh_p813___13791	vanT gene in vanG cluster	12
spaS123___92576	vanW gene in vanI cluster	12
spaS156___139195	vanH gene in vanO cluster	12
spaS171___70124	vanY gene in vanG cluster	12
spaS174___92771	vanT gene in vanG cluster	12
spaS194___208160	vanG	12
spaS19___144034	vanXY gene in vanG cluster	12
spaS214___153996	vanY gene in vanB cluster	12
spaS216___77208	vanW gene in vanB cluster	12
spaS231___146919	vanG	12
spaS248___142694	bacA	12
spaS253___96808	vanY gene in vanB cluster	12
spaS257___85443	vanW gene in vanI cluster	12
spaS257___99341	vanT gene in vanG cluster	12
spaS258___11046	vanT gene in vanG cluster	12
spaS258___139075	vanW gene in vanI cluster	12
spaS259___106916	vanH gene in vanF cluster	12
spaS266___111711	vanG	12
spaS274___83626	qacG	12
spaS282___99423	vanW gene in vanI cluster	12
spaS287___270220	vanY gene in vanG cluster	12
spaS74___34582	vanG	12
spaS75___84153	vanH gene in vanD cluster	12
spaS9___32541	FosA6	12
mh_p110___133648	vanT gene in vanG cluster	11
mh_p110___137239	adeF	11
mh_p110___179002	vanW gene in vanI cluster	11
mh_p110___229857	vanW gene in vanG cluster	11
mh_p110___268470	vanG	11
mh_p292___142138	vanY gene in vanB cluster	11
mh_p292___190700	vanY gene in vanB cluster	11
mh_p292___33055	vanY gene in vanG cluster	11
mh_p341___169826	vanT gene in vanG cluster	11
mh_p341___197292	vanY gene in vanG cluster	11
mh_p341___250182	vanC	11
mh_p398___163408	vanW gene in vanI cluster	11
mh_p470___113065	vanT gene in vanG cluster	11
mh_p470___256234	vanT gene in vanG cluster	11
mh_p523___116912	vanW gene in vanI cluster	11
mh_p523___330222	vanY gene in vanB cluster	11
mh_p523___44441	vanW gene in vanI cluster	11
mh_p584___115442	vanY gene in vanG cluster	11
mh_p584___189287	PmrF	11
mh_p644___12970	ErmF	11
mh_p644___77806	vanW gene in vanG cluster	11
mh_p789___119442	vanT gene in vanG cluster	11
mh_p789___348931	vanY gene in vanF cluster	11
mh_p789___585292	vanW gene in vanI cluster	11
spaS116___9745	vanY gene in vanG cluster	11
spaS171___28756	vanW gene in vanG cluster	11
spaS171___71418	vanW gene in vanI cluster	11
spaS184___133775	vanT gene in vanG cluster	11
spaS188___162316	vanT gene in vanG cluster	11
spaS216___111389	vanW gene in vanB cluster	11
spaS257___143023	adeF	11
spaS257___56259	vanY gene in vanB cluster	11
spaS257___59669	vanT gene in vanG cluster	11
spaS257___68621	vanW gene in vanI cluster	11
spaS278___34889	vanW gene in vanI cluster	11
spaS282___163543	vanT gene in vanG cluster	11
spaS51___47554	vanT gene in vanG cluster	11
spaS70___67666	vanT gene in vanG cluster	11
spaS70___73264	vanY gene in vanF cluster	11
spaS87___32638	vanY gene in vanM cluster	11
mh_p110___190284	mefH	10
mh_p110___197272	vanXY gene in vanG cluster	10
mh_p292___150308	vanW gene in vanI cluster	10
mh_p292___242112	vanT gene in vanG cluster	10
mh_p341___121604	SHV-1	10
mh_p341___34843	efrA	10
mh_p341___78114	vanY gene in vanB cluster	10
mh_p398___157192	vanH gene in vanO cluster	10
mh_p398___191007	vanT gene in vanG cluster	10
mh_p398___207790	vanW gene in vanI cluster	10
mh_p523___370920	vanW gene in vanI cluster	10
mh_p550___127217	Klebsiella pneumoniae OmpK37	10
mh_p584___122197	emrB	10
mh_p584___1447	vanW gene in vanI cluster	10
mh_p644___137253	adeF	10
mh_p644___75901	vanY gene in vanM cluster	10
mh_p722___332844	vanT gene in vanG cluster	10
mh_p722___88680	vanW gene in vanI cluster	10
mh_p728___32705	dfrA14	10
mh_p789___125418	vanW gene in vanI cluster	10
mh_p789___202586	vanG	10
mh_p789___263555	vanW gene in vanI cluster	10
mh_p789___273600	vanY gene in vanB cluster	10
mh_p789___285874	vanW gene in vanI cluster	10
mh_p789___450489	vanT gene in vanG cluster	10
mh_p789___450490	vanT gene in vanG cluster	10
mh_p789___565708	vanW gene in vanI cluster	10
mh_p789___638965	vanT gene in vanG cluster	10
mh_p813___275140	vanW gene in vanI cluster	10
mh_p813___572293	vanXY gene in vanG cluster	10
mh_p813___584688	vanY gene in vanB cluster	10
spaS118___50058	adeF	10
spaS123___75393	vanW gene in vanB cluster	10
spaS123___75394	vanG	10
spaS136___19079	vanG	10
spaS171___56931	tet(36)	10
spaS196___96360	vanW gene in vanI cluster	10
spaS212___131317	CfxA6	10
spaS215___128261	vanY gene in vanB cluster	10
spaS215___16963	vanT gene in vanG cluster	10
spaS215___17830	vanG	10
spaS215___17860	vanW gene in vanI cluster	10
spaS215___584	vanG	10
spaS215___75098	vanW gene in vanI cluster	10
spaS215___7774	vanT gene in vanG cluster	10
spaS23___38145	vanW gene in vanI cluster	10
spaS23___95427	dfrA12	10
spaS257___20386	vanY gene in vanG cluster	10
spaS257___204404	vanT gene in vanG cluster	10
spaS257___48340	vanT gene in vanG cluster	10
spaS257___59670	vanG	10
spaS266___135591	vanT gene in vanG cluster	10
spaS268___4981	ArnT	10
spaS283___77738	nimG	10
spaS2___52461	vanY gene in vanM cluster	10
spaS3___93882	vanW gene in vanI cluster	10
spaS98___19847	lsaC	10
mh_p110___119648	vanT gene in vanG cluster	9
mh_p110___124121	vanT gene in vanG cluster	9
mh_p110___197273	vanG	9
mh_p110___67107	qacG	9
mh_p125___3252	vanG	9
mh_p292___133856	vanW gene in vanI cluster	9
mh_p292___76037	vanT gene in vanG cluster	9
mh_p341___201956	efrA	9
mh_p341___210916	vanT gene in vanG cluster	9
mh_p341___266355	vanC	9
mh_p341___8425	vanR gene in vanC cluster	9
mh_p523___385067	vanY gene in vanB cluster	9
mh_p523___56719	vanW gene in vanI cluster	9
mh_p601___132410	adeF	9
mh_p601___206180	vanT gene in vanG cluster	9
mh_p601___24026	vanW gene in vanI cluster	9
mh_p644___81385	vanT gene in vanG cluster	9
mh_p722___218436	vanT gene in vanG cluster	9
mh_p722___46776	vanT gene in vanG cluster	9
mh_p789___239685	vanH gene in vanO cluster	9
mh_p789___408897	vanT gene in vanG cluster	9
mh_p789___535675	vanW gene in vanI cluster	9
mh_p789___535716	vanT gene in vanG cluster	9
mh_p789___546543	nimB	9
mh_p813___262473	nimB	9
mh_p813___622793	leuO	9
spaS123___101042	vanT gene in vanG cluster	9
spaS123___75396	vanT gene in vanG cluster	9
spaS16___118089	AAC(3)-IId	9
spaS16___128090	vanY gene in vanB cluster	9
spaS186___149611	vanY gene in vanB cluster	9
spaS215___157792	vanG	9
spaS215___22194	vanY gene in vanB cluster	9
spaS215___90496	vanW gene in vanI cluster	9
spaS23___28231	vanY gene in vanB cluster	9
spaS257___112423	vanY gene in vanB cluster	9
spaS257___133364	vanW gene in vanI cluster	9
spaS257___181761	vanW gene in vanI cluster	9
spaS257___72167	vanT gene in vanG cluster	9
spaS259___74257	vanW gene in vanI cluster	9
spaS262___37088	vanY gene in vanG cluster	9
spaS268___35754	Klebsiella pneumoniae KpnE	9
spaS268___4896	eptB	9
spaS268___80186	adeF	9
spaS278___18327	poxtA	9
spaS283___91893	vanY gene in vanA cluster	9
spaS65___111811	vanY gene in vanB cluster	9
spaS77___67356	aadA2	9
spaS84___67304	ANT(6)-Ia	9
mh_p110___129445	vanW gene in vanI cluster	8
mh_p110___172206	vanG	8
mh_p110___202575	vanG	8
mh_p110___79615	vanY gene in vanG cluster	8
mh_p125___119366	vanW gene in vanI cluster	8
mh_p292___24773	CTX-M-15	8
mh_p341___213336	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	8
mh_p398___169235	vanT gene in vanG cluster	8
mh_p470___221582	vanU gene in vanG cluster	8
mh_p470___227344	vanT gene in vanG cluster	8
mh_p523___102611	adeF	8
mh_p523___236021	vanT gene in vanG cluster	8
mh_p523___236106	OXA-347	8
mh_p523___237153	vanW gene in vanI cluster	8
mh_p523___289856	vanT gene in vanG cluster	8
mh_p523___58987	vanT gene in vanG cluster	8
mh_p584___215909	vanT gene in vanG cluster	8
mh_p584___85650	vanY gene in vanM cluster	8
mh_p644___275791	vanY gene in vanG cluster	8
mh_p722___149611	vanT gene in vanG cluster	8
mh_p722___181860	vanW gene in vanG cluster	8
mh_p722___235340	vanW gene in vanG cluster	8
mh_p722___274688	vanT gene in vanC cluster	8
mh_p728___232883	vanT gene in vanG cluster	8
mh_p789___122412	vanH gene in vanO cluster	8
mh_p789___217712	vanT gene in vanG cluster	8
mh_p789___348598	adeF	8
mh_p789___479078	vanW gene in vanI cluster	8
mh_p789___666950	vanW gene in vanI cluster	8
mh_p813___440483	vanW gene in vanI cluster	8
mh_p97___161157	tet(36)	8
spaS123___76604	vanW gene in vanI cluster	8
spaS142___109258	vanY gene in vanB cluster	8
spaS162___75447	APH(3')-Ia	8
spaS171___28759	vanR gene in vanG cluster	8
spaS202___38390	vanY gene in vanB cluster	8
spaS204___81090	vanT gene in vanG cluster	8
spaS214___43112	tet(Q)	8
spaS215___161977	vanT gene in vanG cluster	8
spaS215___62972	vanT gene in vanG cluster	8
spaS233___113235	vanY gene in vanB cluster	8
spaS23___23043	vanY gene in vanM cluster	8
spaS257___106154	nimB	8
spaS257___110627	vanY gene in vanM cluster	8
spaS257___115698	vanT gene in vanG cluster	8
spaS257___124803	tet(Q)	8
spaS257___214781	vanH gene in vanF cluster	8
spaS257___42134	vanH gene in vanO cluster	8
spaS257___94457	vanY gene in vanD cluster	8
spaS257___94458	vanH gene in vanD cluster	8
spaS258___52333	vanY gene in vanM cluster	8
spaS268___35755	Klebsiella pneumoniae KpnF	8
spaS286___211122	vanY gene in vanB cluster	8
spaS296___209828	vanW gene in vanI cluster	8
spaS32___100834	vanW gene in vanI cluster	8
spaS43___51859	vanY gene in vanG cluster	8
spaS96___15158	vanH gene in vanO cluster	8
mh_p110___158504	vanT gene in vanG cluster	7
mh_p110___198714	vanW gene in vanI cluster	7
mh_p110___274133	tetB(P)	7
mh_p125___249462	vanY gene in vanF cluster	7
mh_p292___288713	vanW gene in vanI cluster	7
mh_p292___32135	nimG	7
mh_p292___415121	vanH gene in vanF cluster	7
mh_p341___184234	vanW gene in vanI cluster	7
mh_p341___250183	vanXY gene in vanC cluster	7
mh_p341___263373	FosI	7
mh_p341___266352	vanR gene in vanC cluster	7
mh_p341___266353	vanT gene in vanC cluster	7
mh_p341___266354	vanXY gene in vanC cluster	7
mh_p398___161392	ugd	7
mh_p398___68802	vanT gene in vanG cluster	7
mh_p523___294998	vanW gene in vanG cluster	7
mh_p523___398506	acrD	7
mh_p523___422278	adeF	7
mh_p550___171382	vanT gene in vanG cluster	7
mh_p722___92807	vanW gene in vanI cluster	7
mh_p789___111727	vanY gene in vanG cluster	7
mh_p789___184878	vanW gene in vanI cluster	7
mh_p789___281260	vanXY gene in vanG cluster	7
mh_p789___281261	vanT gene in vanG cluster	7
mh_p789___30316	adeF	7
mh_p789___358264	vanG	7
mh_p789___39538	vanW gene in vanI cluster	7
mh_p789___439781	vanT gene in vanG cluster	7
mh_p789___528009	nimB	7
mh_p789___529176	vanT gene in vanG cluster	7
mh_p789___601498	vanT gene in vanG cluster	7
mh_p813___150710	vanW gene in vanI cluster	7
mh_p813___32599	vanY gene in vanG cluster	7
mh_p813___343424	mdtC	7
mh_p97___97085	adeF	7
spaS102___45545	vanY gene in vanB cluster	7
spaS151___53055	vanW gene in vanI cluster	7
spaS156___83583	vanW gene in vanB cluster	7
spaS205___81937	vanY gene in vanB cluster	7
spaS215___59362	vanT gene in vanG cluster	7
spaS215___82376	vanT gene in vanG cluster	7
spaS215___88033	vanY gene in vanB cluster	7
spaS23___74103	vanT gene in vanG cluster	7
spaS257___119733	vanY gene in vanB cluster	7
spaS257___147412	vanW gene in vanG cluster	7
spaS257___19372	vanT gene in vanG cluster	7
spaS257___2133	vanH gene in vanO cluster	7
spaS257___26144	vanT gene in vanG cluster	7
spaS257___3300	vanY gene in vanB cluster	7
spaS257___49462	vanY gene in vanF cluster	7
spaS257___78733	vanH gene in vanO cluster	7
spaS257___94460	vanX gene in vanD cluster	7
spaS258___106640	efrA	7
spaS258___10886	vanY gene in vanB cluster	7
spaS258___202938	vanT gene in vanG cluster	7
spaS259___104463	vanY gene in vanB cluster	7
spaS262___85268	patB	7
spaS265___21810	vanY gene in vanB cluster	7
spaS267___31360	vanY gene in vanF cluster	7
spaS267___68940	vanT gene in vanG cluster	7
spaS278___10301	vanXY gene in vanG cluster	7
spaS279___84380	vanW gene in vanI cluster	7
spaS279___93074	poxtA	7
spaS3___82699	vanY gene in vanB cluster	7
mh_p110___172208	vanT gene in vanG cluster	6
mh_p110___244361	vanT gene in vanG cluster	6
mh_p110___26883	vanT gene in vanG cluster	6
mh_p110___27643	vanT gene in vanG cluster	6
mh_p110___278989	nimG	6
mh_p110___311607	vanT gene in vanG cluster	6
mh_p292___249264	vanY gene in vanB cluster	6
mh_p292___320977	vanY gene in vanM cluster	6
mh_p341___141384	vanW gene in vanI cluster	6
mh_p341___172424	vanT gene in vanG cluster	6
mh_p470___123657	catI	6
mh_p470___221294	vanY gene in vanB cluster	6
mh_p470___275094	fosA5	6
mh_p523___276069	vanT gene in vanG cluster	6
mh_p523___277409	tet(Q)	6
mh_p523___305972	vanW gene in vanI cluster	6
mh_p523___318779	vanT gene in vanG cluster	6
mh_p523___330056	vanT gene in vanG cluster	6
mh_p584___66040	leuO	6
mh_p722___134242	vanY gene in vanB cluster	6
mh_p722___141975	lnuC	6
mh_p722___162899	bacA	6
mh_p722___211076	qacJ	6
mh_p722___354985	nimA	6
mh_p722___354999	vanX gene in vanD cluster	6
mh_p722___57684	tet(W/N/W)	6
mh_p789___165780	vanW gene in vanI cluster	6
mh_p789___173984	vanT gene in vanG cluster	6
mh_p789___187935	vanY gene in vanF cluster	6
mh_p789___196225	vanY gene in vanB cluster	6
mh_p789___213477	vanY gene in vanB cluster	6
mh_p789___243899	vanY gene in vanB cluster	6
mh_p789___261090	vanG	6
mh_p789___275082	vanW gene in vanI cluster	6
mh_p789___281259	vanG	6
mh_p789___362411	vanH gene in vanO cluster	6
mh_p789___379522	vanW gene in vanI cluster	6
mh_p789___40815	vanT gene in vanG cluster	6
mh_p789___43431	vanT gene in vanG cluster	6
mh_p789___448898	vanY gene in vanB cluster	6
mh_p789___511257	vanT gene in vanG cluster	6
mh_p789___518425	vanT gene in vanG cluster	6
mh_p789___543888	vanY gene in vanB cluster	6
mh_p789___546006	vanG	6
mh_p789___645875	vanY gene in vanG cluster	6
mh_p789___659685	vanR gene in vanG cluster	6
mh_p813___163054	vanT gene in vanG cluster	6
mh_p813___163059	vanW gene in vanI cluster	6
mh_p813___277054	vanY gene in vanF cluster	6
mh_p813___282413	vanT gene in vanG cluster	6
mh_p813___368196	qacG	6
mh_p813___437370	vanY gene in vanB cluster	6
mh_p813___454698	vanT gene in vanG cluster	6
mh_p813___466904	Escherichia coli soxS with mutation conferring antibiotic resistance	6
mh_p813___572291	vanW gene in vanG cluster	6
mh_p813___573638	vanG	6
mh_p860___188524	vanW gene in vanI cluster	6
mh_p97___202135	vanT gene in vanG cluster	6
mh_p97___203356	vanH gene in vanO cluster	6
spaS128___21840	tet(O/32/O)	6
spaS134___46157	vanY gene in vanB cluster	6
spaS143___8012	vanW gene in vanI cluster	6
spaS152___88091	vanY gene in vanG cluster	6
spaS154___18013	vanY gene in vanG cluster	6
spaS184___84681	oqxA	6
spaS215___107197	vanY gene in vanB cluster	6
spaS215___108071	vanU gene in vanG cluster	6
spaS215___110435	vanY gene in vanF cluster	6
spaS233___96128	tet(36)	6
spaS23___16031	vanY gene in vanM cluster	6
spaS23___50380	vanY gene in vanA cluster	6
spaS23___61153	vanY gene in vanM cluster	6
spaS23___76983	vanW gene in vanI cluster	6
spaS257___106032	tet(36)	6
spaS257___10980	vanG	6
spaS257___115702	vanG	6
spaS257___125554	tet(Q)	6
spaS257___27413	vanW gene in vanI cluster	6
spaS257___27480	vanT gene in vanG cluster	6
spaS257___27484	poxtA	6
spaS257___41370	vanT gene in vanG cluster	6
spaS257___82501	adeF	6
spaS257___98773	vanY gene in vanG cluster	6
spaS261___72905	vanY gene in vanG cluster	6
spaS266___103219	vanT gene in vanG cluster	6
spaS266___125037	vanW gene in vanI cluster	6
spaS267___157470	vanY gene in vanM cluster	6
spaS268___128457	emrA	6
spaS268___171472	vanT gene in vanG cluster	6
spaS268___22516	OXY-6-4	6
spaS268___8759	mdtB	6
spaS268___96555	vanY gene in vanB cluster	6
spaS278___115731	ErmA	6
spaS278___77832	vanH gene in vanD cluster	6
spaS284___13991	vanY gene in vanG cluster	6
spaS286___138530	tet(36)	6
spaS296___224621	vanT gene in vanG cluster	6
spaS297___260217	vanY gene in vanB cluster	6
spaS3___68389	aadA5	6
spaS98___44877	vanY gene in vanB cluster	6
mh_p110___158090	vanW gene in vanB cluster	5
mh_p110___172207	vanXY gene in vanG cluster	5
mh_p110___197439	vanW gene in vanG cluster	5
mh_p110___237983	vanH gene in vanB cluster	5
mh_p110___267341	vanY gene in vanF cluster	5
mh_p110___4398	vanXY gene in vanG cluster	5
mh_p110___76627	vanW gene in vanI cluster	5
mh_p110___77704	vanW gene in vanI cluster	5
mh_p125___159769	adeF	5
mh_p292___21750	vanW gene in vanI cluster	5
mh_p292___218155	vanW gene in vanI cluster	5
mh_p292___286051	adeF	5
