participant	gene_id	aro_call
p97	mh_p97___222077	vanY gene in vanB cluster
p97	mh_p97___244661	patA
p97	mh_p97___211584	vanY gene in vanB cluster
p97	mh_p97___203197	vanT gene in vanG cluster
p97	mh_p97___205525	vanY gene in vanG cluster
p97	mh_p97___191928	tet(M)
p97	mh_p97___215936	vanT gene in vanG cluster
p97	mh_p97___229654	CDD-1
p97	mh_p97___176809	vanT gene in vanG cluster
p97	mh_p97___207971	vanT gene in vanG cluster
p97	mh_p97___219	vanW gene in vanI cluster
p97	mh_p97___201050	vanT gene in vanG cluster
p97	mh_p97___122169	vanY gene in vanB cluster
p97	mh_p97___92766	vanY gene in vanA cluster
p97	mh_p97___9034	vanY gene in vanB cluster
p97	mh_p97___94617	vanW gene in vanI cluster
