whole_cohort_id	is_plasmid	is_virus	has_amr	n_samples	n_participants	length	n_genes	n_amr_genes	n_good_mag	n_binned	mag_status
mh_p860_000000000593	TRUE	FALSE	FALSE	1	1	11779	12	0	1	1	good MAG
mh_p860_000000000620	TRUE	FALSE	FALSE	1	1	11185	16	0	0	0	unbinned
mh_p860_000000000772	TRUE	FALSE	FALSE	3	1	5997	5	0	1	1	good MAG
mh_p860_000000000847	FALSE	TRUE	FALSE	5	1	5336	20	0	5	5	good MAG
mh_p860_000000000866	FALSE	TRUE	FALSE	4	1	6847	8	0	1	1	good MAG
mh_p860_000000000871	TRUE	FALSE	FALSE	3	1	6723	6	0	0	0	unbinned
mh_p860_000000001055	TRUE	FALSE	FALSE	4	3	6254	8	0	0	1	binned (low quality)
mh_p860_000000001091	FALSE	FALSE	TRUE	2	1	1693	2	1	0	0	unbinned
mh_p860_000000001094	TRUE	FALSE	FALSE	3	2	8425	52	0	2	2	good MAG
mh_p860_000000001311	FALSE	TRUE	FALSE	3	1	12701	17	0	1	1	good MAG
mh_p860_000000001655	FALSE	TRUE	FALSE	2	1	64358	69	0	2	2	good MAG
mh_p860_000000001752	FALSE	TRUE	FALSE	2	1	1932	37	0	0	0	unbinned
mh_p860_000000001843	TRUE	FALSE	FALSE	1	1	5702	6	0	1	1	good MAG
mh_p860_000000001874	TRUE	FALSE	FALSE	2	1	13566	14	0	1	1	good MAG
mh_p860_000000001902	TRUE	FALSE	FALSE	4	2	8111	24	0	2	2	good MAG
mh_p860_000000001973	TRUE	FALSE	FALSE	1	1	7484	9	0	1	1	good MAG
mh_p860_000000002005	TRUE	FALSE	FALSE	2	1	5507	6	0	0	0	unbinned
mh_p860_000000002454	TRUE	FALSE	FALSE	2	1	7298	6	0	0	0	unbinned
mh_p860_000000002477	FALSE	TRUE	FALSE	1	1	6593	4	0	1	1	good MAG
mh_p860_000000002833	FALSE	TRUE	FALSE	1	1	11449	10	0	0	0	unbinned
mh_p860_000000002856	FALSE	FALSE	TRUE	5	1	63369	53	2	5	5	good MAG
mh_p860_000000002912	FALSE	TRUE	FALSE	1	1	7139	9	0	0	0	unbinned
mh_p860_000000003098	TRUE	FALSE	FALSE	10	2	8938	12	0	0	0	unbinned
mh_p860_000000003132	TRUE	FALSE	FALSE	9	1	9034	8	0	0	0	unbinned
mh_p860_000000003323	FALSE	TRUE	FALSE	2	1	45840	54	0	1	1	good MAG
mh_p860_000000003411	TRUE	FALSE	FALSE	8	1	4160	19	0	8	8	good MAG
mh_p860_000000003599	TRUE	FALSE	FALSE	1	1	7333	6	0	0	0	unbinned
mh_p860_000000003721	FALSE	TRUE	FALSE	1	1	5142	10	0	0	0	unbinned
mh_p860_000000003798	TRUE	FALSE	FALSE	4	1	6175	7	0	0	0	unbinned
mh_p860_000000003884	TRUE	FALSE	FALSE	3	1	5927	6	0	0	0	unbinned
mh_p860_000000003933	TRUE	FALSE	FALSE	14	1	8841	23	0	7	7	good MAG
mh_p860_000000003979	TRUE	FALSE	FALSE	2	1	42345	44	0	1	1	good MAG
mh_p860_000000004001	TRUE	FALSE	FALSE	8	1	7845	11	0	1	1	good MAG
mh_p860_000000004635	FALSE	FALSE	TRUE	1	1	130145	100	1	1	1	good MAG
mh_p860_000000004654	TRUE	FALSE	FALSE	8	1	25332	25	0	0	0	unbinned
mh_p860_000000004685	FALSE	FALSE	TRUE	2	1	35046	34	1	2	2	good MAG
mh_p860_000000004753	FALSE	TRUE	FALSE	1	1	8550	16	0	0	0	unbinned
mh_p860_000000004876	FALSE	TRUE	FALSE	1	1	8332	14	0	0	0	unbinned
mh_p860_000000004895	FALSE	TRUE	FALSE	2	1	7127	14	0	1	1	good MAG
mh_p860_000000004931	TRUE	FALSE	FALSE	2	1	5205	7	0	1	1	good MAG
mh_p860_000000005101	TRUE	FALSE	FALSE	2	1	2521	21	0	0	0	unbinned
mh_p860_000000005185	TRUE	FALSE	FALSE	1	1	8047	11	0	0	0	unbinned
mh_p860_000000005259	FALSE	TRUE	FALSE	1	1	5039	7	0	0	0	unbinned
mh_p860_000000005386	FALSE	FALSE	TRUE	3	2	8578	30	1	3	3	good MAG
mh_p860_000000005408	FALSE	FALSE	TRUE	1	1	3878	5	1	1	1	good MAG
mh_p860_000000005448	FALSE	FALSE	TRUE	2	1	92865	506	2	2	2	good MAG
mh_p860_000000005456	TRUE	FALSE	TRUE	17	2	9083	26	1	16	16	good MAG
mh_p860_000000005482	FALSE	FALSE	TRUE	3	1	29337	179	1	3	3	good MAG
mh_p860_000000005514	TRUE	FALSE	FALSE	3	1	8379	10	0	3	3	good MAG
mh_p860_000000005554	FALSE	FALSE	TRUE	2	1	14651	19	1	1	1	good MAG
mh_p860_000000005724	FALSE	TRUE	FALSE	1	1	11324	14	0	0	0	unbinned
mh_p860_000000005930	TRUE	FALSE	FALSE	4	1	13832	10	0	3	3	good MAG
mh_p860_000000005947	FALSE	FALSE	TRUE	4	1	92316	75	1	4	4	good MAG
mh_p860_000000006173	FALSE	TRUE	FALSE	2	1	9340	5	0	1	1	good MAG
mh_p860_000000006210	FALSE	TRUE	FALSE	6	3	30329	36	0	1	1	good MAG
mh_p860_000000006222	FALSE	FALSE	TRUE	4	1	934982	876	3	4	4	good MAG
mh_p860_000000006244	FALSE	TRUE	FALSE	2	1	5588	15	0	0	0	unbinned
mh_p860_000000006315	FALSE	FALSE	TRUE	2	1	30407	27	1	1	1	good MAG
mh_p860_000000006447	FALSE	TRUE	FALSE	2	1	6972	9	0	0	0	unbinned
mh_p860_000000006500	FALSE	FALSE	TRUE	5	2	90133	375	1	5	5	good MAG
mh_p860_000000006776	TRUE	FALSE	FALSE	13	2	9626	19	0	12	12	good MAG
mh_p860_000000007112	FALSE	FALSE	TRUE	2	1	423656	385	1	2	2	good MAG
mh_p860_000000007291	TRUE	FALSE	FALSE	5	1	7867	19	0	0	0	unbinned
mh_p860_000000007465	FALSE	FALSE	TRUE	4	1	75287	86	1	4	4	good MAG
mh_p860_000000007711	FALSE	FALSE	TRUE	2	1	19782	13	1	2	2	good MAG
mh_p860_000000007781	TRUE	FALSE	FALSE	1	1	5568	7	0	0	0	unbinned
mh_p860_000000007793	FALSE	FALSE	TRUE	1	1	2073	3	1	0	0	unbinned
mh_p860_000000007803	FALSE	TRUE	FALSE	2	1	65658	58	0	1	1	good MAG
mh_p860_000000007974	TRUE	FALSE	FALSE	3	1	6713	8	0	1	1	good MAG
mh_p860_000000008242	FALSE	TRUE	FALSE	2	1	1757	17	0	0	0	unbinned
mh_p860_000000008399	TRUE	FALSE	FALSE	3	2	9299	12	0	0	0	unbinned
mh_p860_000000008400	FALSE	FALSE	TRUE	1	1	1180	1	1	0	0	unbinned
mh_p860_000000008423	FALSE	TRUE	FALSE	4	2	7432	11	0	1	1	good MAG
mh_p860_000000008443	FALSE	TRUE	FALSE	2	1	8509	8	0	0	0	unbinned
mh_p860_000000008560	FALSE	TRUE	FALSE	2	1	5859	4	0	1	1	good MAG
mh_p860_000000008562	TRUE	FALSE	FALSE	8	2	5259	8	0	6	6	good MAG
mh_p860_000000008573	FALSE	TRUE	FALSE	2	2	7558	7	0	0	0	unbinned
mh_p860_000000008884	FALSE	TRUE	FALSE	5	2	8314	9	0	0	0	unbinned
mh_p860_000000008924	FALSE	TRUE	FALSE	30	6	7390	8	0	18	18	good MAG
mh_p860_000000009083	TRUE	FALSE	FALSE	2	1	22713	156	0	2	2	good MAG
mh_p860_000000009200	TRUE	FALSE	FALSE	3	1	57362	41	0	1	2	good MAG
mh_p860_000000009241	FALSE	TRUE	FALSE	1	1	5730	7	0	0	0	unbinned
mh_p860_000000009579	FALSE	TRUE	FALSE	2	1	5092	7	0	0	0	unbinned
mh_p860_000000010015	TRUE	FALSE	FALSE	2	1	5156	7	0	0	0	unbinned
mh_p860_000000010062	FALSE	FALSE	TRUE	3	2	91653	224	1	3	3	good MAG
mh_p860_000000010281	FALSE	TRUE	FALSE	2	1	5178	6	0	0	0	unbinned
mh_p860_000000010329	FALSE	TRUE	FALSE	2	1	6967	7	0	0	0	unbinned
mh_p860_000000010447	TRUE	FALSE	FALSE	8	4	9429	18	0	1	1	good MAG
mh_p860_000000010516	TRUE	FALSE	FALSE	3	1	40425	41	0	0	0	unbinned
mh_p860_000000010660	FALSE	TRUE	FALSE	3	2	6692	41	0	0	0	unbinned
mh_p860_000000011250	FALSE	TRUE	FALSE	2	1	14407	13	0	2	2	good MAG
mh_p860_000000011326	TRUE	FALSE	FALSE	1	1	14355	16	0	1	1	good MAG
mh_p860_000000011351	FALSE	FALSE	TRUE	4	3	34206	37	1	4	4	good MAG
mh_p860_000000011393	TRUE	FALSE	FALSE	1	1	5944	5	0	1	1	good MAG
mh_p860_000000011546	FALSE	FALSE	TRUE	1	1	1524	3	1	0	0	unbinned
mh_p860_000000011607	TRUE	FALSE	FALSE	2	1	5107	7	0	1	1	good MAG
mh_p860_000000011821	FALSE	TRUE	TRUE	8	3	8957	137	2	2	2	good MAG
mh_p860_000000011891	FALSE	TRUE	FALSE	2	1	9494	16	0	0	0	unbinned
mh_p860_000000012041	FALSE	FALSE	TRUE	1	1	7016	7	1	1	1	good MAG
mh_p860_000000012051	FALSE	TRUE	FALSE	2	1	34392	34	0	0	0	unbinned
mh_p860_000000012408	TRUE	FALSE	FALSE	4	2	19978	23	0	0	0	unbinned
mh_p860_000000012801	TRUE	FALSE	FALSE	1	1	10126	10	0	0	0	unbinned
mh_p860_000000012813	FALSE	TRUE	FALSE	4	1	4938	33	0	0	0	unbinned
mh_p860_000000013030	FALSE	TRUE	FALSE	1	1	5708	10	0	0	1	binned (low quality)
mh_p860_000000013056	FALSE	FALSE	TRUE	1	1	12217	11	1	1	1	good MAG
mh_p860_000000013085	TRUE	FALSE	FALSE	2	1	2600	10	0	1	1	good MAG
mh_p860_000000013177	FALSE	TRUE	FALSE	1	1	8244	6	0	1	1	good MAG
mh_p860_000000013450	FALSE	TRUE	FALSE	1	1	5486	8	0	0	0	unbinned
mh_p860_000000013498	TRUE	FALSE	FALSE	3	1	8405	16	0	0	0	unbinned
mh_p860_000000013699	TRUE	FALSE	FALSE	2	1	6777	8	0	0	0	unbinned
mh_p860_000000013746	FALSE	TRUE	FALSE	3	2	18857	19	0	0	0	unbinned
mh_p860_000000013754	FALSE	FALSE	TRUE	2	1	95530	85	1	2	2	good MAG
mh_p860_000000014044	TRUE	FALSE	FALSE	2	1	5108	4	0	0	0	unbinned
mh_p860_000000014048	TRUE	FALSE	FALSE	1	1	8108	6	0	1	1	good MAG
mh_p860_000000014076	TRUE	FALSE	FALSE	3	1	29864	31	0	0	0	unbinned
mh_p860_000000014084	TRUE	FALSE	FALSE	2	1	5090	5	0	1	1	good MAG
mh_p860_000000014101	TRUE	FALSE	FALSE	1	1	10613	16	0	0	0	unbinned
mh_p860_000000014256	TRUE	FALSE	FALSE	5	2	9702	11	0	3	3	good MAG
mh_p860_000000014265	FALSE	TRUE	FALSE	2	1	80484	114	0	0	0	unbinned
mh_p860_000000014305	FALSE	TRUE	FALSE	1	1	6188	7	0	1	1	good MAG
mh_p860_000000014431	FALSE	TRUE	FALSE	3	1	60695	85	0	1	1	good MAG
mh_p860_000000014603	FALSE	TRUE	FALSE	1	1	5459	5	0	0	0	unbinned
mh_p860_000000014910	TRUE	FALSE	FALSE	6	1	7448	9	0	0	0	unbinned
mh_p860_000000014941	TRUE	FALSE	FALSE	1	1	5910	5	0	0	0	unbinned
mh_p860_000000014979	FALSE	TRUE	FALSE	4	1	6668	22	0	1	1	good MAG
mh_p860_000000014981	TRUE	FALSE	FALSE	3	1	9129	13	0	0	0	unbinned
mh_p860_000000015119	FALSE	TRUE	FALSE	2	1	5346	4	0	0	0	unbinned
mh_p860_000000015216	FALSE	FALSE	TRUE	3	1	2020	2	1	0	0	unbinned
mh_p860_000000015332	TRUE	FALSE	FALSE	2	1	19008	18	0	2	2	good MAG
mh_p860_000000015561	FALSE	FALSE	TRUE	5	1	210172	209	1	5	5	good MAG
mh_p860_000000015586	TRUE	FALSE	FALSE	2	1	9609	11	0	2	2	good MAG
mh_p860_000000015643	TRUE	FALSE	FALSE	2	1	8626	10	0	1	1	good MAG
mh_p860_000000015883	TRUE	FALSE	FALSE	1	1	9954	8	0	1	1	good MAG
mh_p860_000000015893	TRUE	FALSE	FALSE	2	1	1892	13	0	0	0	unbinned
mh_p860_000000016284	TRUE	FALSE	FALSE	4	1	5998	9	0	0	0	unbinned
mh_p860_000000016384	FALSE	TRUE	FALSE	1	1	5165	4	0	0	0	unbinned
mh_p860_000000016614	FALSE	TRUE	FALSE	3	2	7762	52	0	0	0	unbinned
mh_p860_000000016902	TRUE	FALSE	FALSE	1	1	11671	16	0	1	1	good MAG
mh_p860_000000016925	FALSE	TRUE	FALSE	4	1	6790	8	0	0	0	unbinned
mh_p860_000000017038	TRUE	FALSE	FALSE	3	1	7558	12	0	0	0	unbinned
mh_p860_000000017127	FALSE	TRUE	FALSE	4	2	8091	7	0	1	1	good MAG
mh_p860_000000017323	TRUE	FALSE	FALSE	21	3	8098	12	0	0	0	unbinned
mh_p860_000000017338	FALSE	TRUE	FALSE	2	1	1291	10	0	0	0	unbinned
mh_p860_000000017431	TRUE	FALSE	FALSE	3	1	6973	7	0	3	3	good MAG
mh_p860_000000017760	TRUE	FALSE	FALSE	4	1	5775	14	0	1	1	good MAG
mh_p860_000000018024	TRUE	FALSE	FALSE	31	4	9586	28	0	1	1	good MAG
mh_p860_000000018055	TRUE	FALSE	FALSE	2	1	6995	10	0	2	2	good MAG
mh_p860_000000018405	FALSE	TRUE	FALSE	10	3	67116	37	0	6	6	good MAG
mh_p860_000000018617	TRUE	FALSE	TRUE	6	2	43733	43	1	6	6	good MAG
mh_p860_000000018630	FALSE	TRUE	FALSE	1	1	6700	8	0	1	1	good MAG
mh_p860_000000018716	TRUE	FALSE	FALSE	2	1	8946	8	0	0	0	unbinned
mh_p860_000000018776	TRUE	FALSE	FALSE	9	3	56695	34	0	0	0	unbinned
mh_p860_000000018923	FALSE	TRUE	FALSE	1	1	5627	7	0	0	0	unbinned
mh_p860_000000019077	TRUE	FALSE	FALSE	2	1	3147	10	0	0	0	unbinned
mh_p860_000000019295	TRUE	FALSE	FALSE	2	1	6513	6	0	0	0	unbinned
mh_p860_000000019372	FALSE	TRUE	FALSE	1	1	5786	10	0	0	0	unbinned
mh_p860_000000019374	TRUE	FALSE	FALSE	4	2	5338	10	0	3	3	good MAG
mh_p860_000000019384	TRUE	FALSE	FALSE	2	1	6842	23	0	0	0	unbinned
mh_p860_000000019532	FALSE	FALSE	TRUE	2	2	2769	4	1	1	1	good MAG
mh_p860_000000019617	TRUE	FALSE	FALSE	1	1	8366	6	0	0	0	unbinned
mh_p860_000000019732	FALSE	FALSE	TRUE	2	1	2769	4	1	0	0	unbinned
mh_p860_000000019857	TRUE	FALSE	FALSE	1	1	6039	5	0	1	1	good MAG
mh_p860_000000019883	FALSE	TRUE	FALSE	2	1	6134	15	0	0	0	unbinned
mh_p860_000000020039	TRUE	FALSE	FALSE	2	1	36350	38	0	0	0	unbinned
mh_p860_000000020151	TRUE	FALSE	FALSE	1	1	25210	35	0	0	0	unbinned
mh_p860_000000020208	TRUE	FALSE	FALSE	3	2	6050	4	0	0	0	unbinned
mh_p860_000000020260	FALSE	FALSE	TRUE	1	1	21150	19	1	1	1	good MAG
mh_p860_000000020290	FALSE	TRUE	FALSE	4	1	5344	4	0	0	0	unbinned
mh_p860_000000020369	TRUE	FALSE	FALSE	3	1	5285	7	0	0	0	unbinned
mh_p860_000000020488	TRUE	FALSE	FALSE	6	3	8605	14	0	2	2	good MAG
mh_p860_000000020562	FALSE	FALSE	TRUE	1	1	114215	72	1	1	1	good MAG
mh_p860_000000020609	TRUE	FALSE	FALSE	2	1	9060	8	0	2	2	good MAG
mh_p860_000000020623	FALSE	TRUE	FALSE	3	1	7709	11	0	0	0	unbinned
mh_p860_000000020770	TRUE	FALSE	FALSE	3	1	32055	25	0	2	2	good MAG
mh_p860_000000020784	FALSE	FALSE	TRUE	1	1	11457	11	1	1	1	good MAG
mh_p860_000000021249	TRUE	FALSE	FALSE	2	1	5813	11	0	1	1	good MAG
mh_p860_000000021355	FALSE	TRUE	FALSE	2	1	8145	9	0	0	0	unbinned
mh_p860_000000021427	FALSE	TRUE	FALSE	2	1	5245	7	0	0	0	unbinned
mh_p860_000000021568	FALSE	TRUE	FALSE	3	1	8847	12	0	2	2	good MAG
mh_p860_000000021692	TRUE	FALSE	FALSE	1	1	7293	6	0	0	0	unbinned
mh_p860_000000021765	FALSE	TRUE	FALSE	2	1	18581	20	0	0	0	unbinned
mh_p860_000000021918	TRUE	FALSE	FALSE	1	1	9356	6	0	1	1	good MAG
mh_p860_000000022014	TRUE	FALSE	FALSE	2	1	7392	11	0	1	1	good MAG
mh_p860_000000022221	TRUE	FALSE	FALSE	16	2	8513	21	0	0	0	unbinned
mh_p860_000000022337	TRUE	FALSE	FALSE	1	1	5515	7	0	0	0	unbinned
mh_p860_000000022345	FALSE	TRUE	FALSE	3	1	5165	11	0	1	1	good MAG
mh_p860_000000022619	FALSE	TRUE	FALSE	1	1	5835	6	0	1	1	good MAG
mh_p860_000000022731	TRUE	FALSE	FALSE	3	1	8649	7	0	0	1	binned (low quality)
mh_p860_000000022991	FALSE	TRUE	FALSE	2	1	7439	14	0	1	1	good MAG
mh_p860_000000023164	FALSE	TRUE	FALSE	1	1	6289	5	0	0	0	unbinned
mh_p860_000000023169	TRUE	FALSE	FALSE	9	2	8139	16	0	1	1	good MAG
mh_p860_000000023245	TRUE	FALSE	FALSE	10	4	9800	14	0	0	0	unbinned
mh_p860_000000023811	TRUE	FALSE	FALSE	2	1	5454	8	0	0	0	unbinned
mh_p860_000000023846	TRUE	FALSE	FALSE	4	2	51270	44	0	1	1	good MAG
mh_p860_000000024038	TRUE	FALSE	FALSE	3	2	9838	3	0	0	0	unbinned
mh_p860_000000024112	FALSE	TRUE	FALSE	3	1	5605	15	0	0	0	unbinned
mh_p860_000000024141	TRUE	FALSE	FALSE	1	1	20819	17	0	0	0	unbinned
mh_p860_000000024459	TRUE	FALSE	FALSE	3	3	6618	8	0	1	1	good MAG
mh_p860_000000024586	TRUE	FALSE	FALSE	7	3	6208	5	0	5	5	good MAG
mh_p860_000000024615	TRUE	FALSE	FALSE	1	1	18138	22	0	1	1	good MAG
mh_p860_000000024696	FALSE	TRUE	FALSE	14	3	9277	28	0	0	1	binned (low quality)
mh_p860_000000024839	TRUE	FALSE	FALSE	1	1	8771	10	0	1	1	good MAG
mh_p860_000000024930	TRUE	FALSE	FALSE	4	2	9922	13	0	1	2	good MAG
mh_p860_000000024961	FALSE	TRUE	FALSE	2	2	7812	11	0	0	0	unbinned
mh_p860_000000024964	FALSE	FALSE	TRUE	2	1	4028	5	1	0	0	unbinned
mh_p860_000000025000	TRUE	FALSE	FALSE	1	1	5198	5	0	0	0	unbinned
mh_p860_000000025114	FALSE	TRUE	FALSE	3	1	5063	11	0	1	1	good MAG
mh_p860_000000025172	TRUE	FALSE	FALSE	1	1	6749	7	0	1	1	good MAG
mh_p860_000000025188	TRUE	FALSE	FALSE	12	1	7374	10	0	8	8	good MAG
mh_p860_000000025560	FALSE	TRUE	FALSE	2	1	5312	4	0	2	2	good MAG
mh_p860_000000025699	TRUE	FALSE	FALSE	3	1	8236	7	0	1	1	good MAG
mh_p860_000000025741	TRUE	FALSE	FALSE	2	1	5184	7	0	0	0	unbinned
mh_p860_000000025782	FALSE	TRUE	FALSE	4	1	8359	8	0	3	4	good MAG
mh_p860_000000025841	FALSE	TRUE	FALSE	1	1	8372	7	0	1	1	good MAG
mh_p860_000000025974	TRUE	FALSE	FALSE	2	1	7862	30	0	0	0	unbinned
mh_p860_000000025995	TRUE	FALSE	FALSE	3	2	8820	12	0	2	2	good MAG
mh_p860_000000026017	TRUE	FALSE	FALSE	2	1	6802	13	0	1	1	good MAG
mh_p860_000000026227	FALSE	TRUE	FALSE	8	2	41475	45	0	5	5	good MAG
mh_p860_000000026322	TRUE	FALSE	FALSE	22	7	32736	34	0	21	21	good MAG
mh_p860_000000026426	FALSE	TRUE	FALSE	2	1	5847	10	0	2	2	good MAG
mh_p860_000000026700	FALSE	FALSE	TRUE	2	1	1820	19	2	0	0	unbinned
mh_p860_000000026768	TRUE	FALSE	FALSE	2	1	8100	25	0	2	2	good MAG
mh_p860_000000027075	FALSE	TRUE	FALSE	6	1	3541	14	0	0	0	unbinned
mh_p860_000000027179	FALSE	TRUE	FALSE	1	1	7479	3	0	0	0	unbinned
mh_p860_000000027324	FALSE	FALSE	TRUE	2	1	2355	3	1	0	2	binned (low quality)
mh_p860_000000027331	TRUE	FALSE	FALSE	2	1	9007	11	0	1	1	good MAG
mh_p860_000000027354	FALSE	TRUE	FALSE	2	1	5464	5	0	0	0	unbinned
mh_p860_000000027457	TRUE	FALSE	FALSE	2	1	5231	5	0	0	1	binned (low quality)
mh_p860_000000027610	TRUE	FALSE	FALSE	2	1	31301	35	0	1	1	good MAG
mh_p860_000000027694	FALSE	TRUE	FALSE	2	1	14590	23	0	0	0	unbinned
mh_p860_000000027794	FALSE	FALSE	TRUE	2	1	4334	16	1	2	2	good MAG
mh_p860_000000027894	TRUE	FALSE	FALSE	2	1	8457	9	0	0	0	unbinned
mh_p860_000000028010	FALSE	TRUE	FALSE	3	3	5534	22	0	2	2	good MAG
mh_p860_000000028254	FALSE	TRUE	FALSE	8	2	9493	16	0	1	1	good MAG
mh_p860_000000028443	FALSE	FALSE	TRUE	1	1	7098	7	1	1	1	good MAG
mh_p860_000000028456	FALSE	TRUE	FALSE	5	3	47932	60	0	3	3	good MAG
mh_p860_000000028662	FALSE	FALSE	TRUE	3	1	4600	7	1	0	0	unbinned
mh_p860_000000028726	TRUE	FALSE	FALSE	4	2	8983	9	0	0	0	unbinned
mh_p860_000000028824	FALSE	TRUE	FALSE	2	1	18913	27	0	0	0	unbinned
mh_p860_000000028982	FALSE	TRUE	FALSE	1	1	6068	2	0	0	0	unbinned
mh_p860_000000029301	FALSE	TRUE	FALSE	3	2	5244	29	0	0	0	unbinned
mh_p860_000000029334	TRUE	FALSE	FALSE	2	1	36985	36	0	2	2	good MAG
mh_p860_000000029344	FALSE	FALSE	TRUE	5	2	3125	3	1	0	0	unbinned
mh_p860_000000029505	FALSE	TRUE	FALSE	1	1	6107	11	0	0	0	unbinned
mh_p860_000000029591	FALSE	TRUE	FALSE	2	1	6724	7	0	0	0	unbinned
mh_p860_000000029593	FALSE	TRUE	FALSE	2	2	7058	4	0	0	0	unbinned
mh_p860_000000029853	TRUE	FALSE	FALSE	3	2	7495	50	0	0	0	unbinned
mh_p860_000000030102	FALSE	TRUE	FALSE	2	1	8721	11	0	2	2	good MAG
mh_p860_000000030213	TRUE	FALSE	FALSE	2	1	8400	8	0	0	0	unbinned
mh_p860_000000030437	TRUE	FALSE	FALSE	8	1	24157	18	0	8	8	good MAG
mh_p860_000000030477	TRUE	FALSE	FALSE	2	1	5163	15	0	1	1	good MAG
mh_p860_000000030526	FALSE	FALSE	TRUE	2	1	4933	10	1	0	0	unbinned
mh_p860_000000030685	FALSE	TRUE	FALSE	2	1	8245	7	0	1	1	good MAG
mh_p860_000000031046	FALSE	FALSE	TRUE	2	1	9952	62	1	2	2	good MAG
mh_p860_000000031387	FALSE	TRUE	FALSE	2	1	13876	13	0	1	1	good MAG
mh_p860_000000031580	FALSE	TRUE	FALSE	8	1	6881	17	0	3	3	good MAG
mh_p860_000000031856	FALSE	FALSE	TRUE	2	1	5623	14	1	1	1	good MAG
mh_p860_000000031878	TRUE	FALSE	FALSE	1	1	6647	7	0	0	0	unbinned
mh_p860_000000031945	TRUE	FALSE	FALSE	1	1	12865	11	0	1	1	good MAG
mh_p860_000000032145	FALSE	TRUE	FALSE	2	2	14496	27	0	0	0	unbinned
mh_p860_000000032147	FALSE	FALSE	TRUE	2	1	86975	79	1	2	2	good MAG
mh_p860_000000032270	FALSE	TRUE	FALSE	3	1	3905	11	0	1	1	good MAG
mh_p860_000000032347	FALSE	TRUE	FALSE	1	1	5880	2	0	0	0	unbinned
mh_p860_000000032364	TRUE	FALSE	FALSE	2	1	7281	8	0	0	0	unbinned
mh_p860_000000032669	TRUE	FALSE	FALSE	2	1	1409	11	0	0	0	unbinned
mh_p860_000000032916	FALSE	TRUE	FALSE	4	4	9572	21	0	2	2	good MAG
mh_p860_000000033111	FALSE	TRUE	FALSE	1	1	10301	8	0	1	1	good MAG
mh_p860_000000033233	TRUE	FALSE	FALSE	4	1	9874	20	0	0	0	unbinned
mh_p860_000000033311	FALSE	FALSE	TRUE	6	2	62940	54	1	6	6	good MAG
mh_p860_000000033339	FALSE	FALSE	TRUE	5	3	97651	110	1	5	5	good MAG
mh_p860_000000033419	TRUE	FALSE	FALSE	1	1	6676	6	0	1	1	good MAG
mh_p860_000000033524	TRUE	FALSE	FALSE	2	1	1909	13	0	0	0	unbinned
mh_p860_000000033924	TRUE	FALSE	FALSE	10	2	8001	7	0	9	9	good MAG
mh_p860_000000034219	TRUE	FALSE	FALSE	6	1	6383	6	0	0	1	binned (low quality)
mh_p860_000000034301	FALSE	TRUE	FALSE	2	2	9409	15	0	2	2	good MAG
mh_p860_000000034476	FALSE	TRUE	TRUE	2	2	111045	123	1	2	2	good MAG
mh_p860_000000034571	FALSE	TRUE	FALSE	2	1	5057	15	0	0	0	unbinned
mh_p860_000000034611	FALSE	FALSE	TRUE	2	1	17472	155	1	2	2	good MAG
mh_p860_000000034697	FALSE	TRUE	FALSE	2	1	6645	7	0	0	0	unbinned
mh_p860_000000034852	TRUE	FALSE	FALSE	2	1	2045	28	0	0	0	unbinned
mh_p860_000000034974	FALSE	TRUE	TRUE	2	1	235568	227	1	2	2	good MAG
mh_p860_000000035058	TRUE	FALSE	FALSE	1	1	8395	11	0	0	1	binned (low quality)
mh_p860_000000035152	TRUE	FALSE	FALSE	4	1	5688	10	0	0	0	unbinned
mh_p860_000000035177	FALSE	TRUE	FALSE	3	1	6504	5	0	0	0	unbinned
mh_p860_000000035282	TRUE	FALSE	FALSE	1	1	5024	7	0	0	0	unbinned
mh_p860_000000035642	FALSE	TRUE	FALSE	6	1	53647	68	0	0	0	unbinned
mh_p860_000000035686	TRUE	FALSE	FALSE	3	1	7516	10	0	2	2	good MAG
mh_p860_000000035750	FALSE	FALSE	TRUE	2	1	61439	58	1	2	2	good MAG
mh_p860_000000035912	FALSE	TRUE	FALSE	2	1	15805	12	0	1	1	good MAG
mh_p860_000000035922	TRUE	FALSE	FALSE	4	2	10869	9	0	4	4	good MAG
mh_p860_000000036124	FALSE	TRUE	FALSE	3	2	8422	16	0	0	0	unbinned
mh_p860_000000036334	TRUE	FALSE	FALSE	7	2	14411	13	0	0	0	unbinned
mh_p860_000000036348	FALSE	FALSE	TRUE	3	2	61166	58	1	3	3	good MAG
mh_p860_000000036552	FALSE	TRUE	FALSE	2	1	20740	27	0	1	1	good MAG
mh_p860_000000036717	FALSE	FALSE	TRUE	3	2	5855	9	1	2	2	good MAG
mh_p860_000000036801	TRUE	FALSE	FALSE	2	1	11669	10	0	0	0	unbinned
mh_p860_000000036850	TRUE	FALSE	FALSE	2	1	5248	15	0	2	2	good MAG
mh_p860_000000036932	FALSE	FALSE	TRUE	2	1	1881	2	1	0	0	unbinned
mh_p860_000000037006	TRUE	FALSE	FALSE	3	1	9736	14	0	1	1	good MAG
mh_p860_000000037074	FALSE	FALSE	TRUE	2	1	54312	330	1	2	2	good MAG
mh_p860_000000037192	FALSE	FALSE	TRUE	1	1	99368	82	1	1	1	good MAG
mh_p860_000000037299	TRUE	FALSE	FALSE	3	2	6860	9	0	3	3	good MAG
